data_concerto,ora_concerto,nome_ambiente,indirizzo_ambiente,nome_citta,cap_citta,gruppo
2017-07-16,22:00:00,tablet Arena,"10564 Ferrystad, Corpus Christi, Pennsylvania 63017",Bakersfield,39007,Turner Lebsack
2023-04-17,22:30:00,listen Arena,"67910 Lake Neckfort, Oklahoma, New York 26328",Riverside,25423,Okey Dietrich
2019-08-16,23:00:00,room Arena,"529 South Roadsborough, Chesapeake, Illinois 26353",Baton Rouge,99153,Sabryna Abbott
2021-02-04,23:30:00,when Arena,"7188 Turnpikemouth, Madison, Montana 18731",Reno,86041,Braeden Mayert
2017-02-28,18:30:00,bevy Arena,"3383 Junctionsfurt, Washington, Maryland 88790",Reno,86041,Tressa Johns
2018-11-13,19:00:00,tablet Arena,"10564 Ferrystad, Corpus Christi, Pennsylvania 63017",Bakersfield,39007,Tressa Johns
2017-12-08,22:30:00,cooperative Arena,"4403 Port Lightsborough, Stockton, Washington 15875",Bakersfield,83065,Maximilian Rice
2022-04-30,18:00:00,begin Arena,"9522 Alleyton, San Antonio, Oregon 36987",Reno,86041,Harmon Walter
2022-10-16,23:30:00,sedge Arena,"7862 Landingfort, Baltimore, Alabama 18908",Raleigh,60698,Anita Rippin
2022-01-07,21:30:00,can Arena,"693 Lake Manorhaven, Baltimore, Illinois 31057",Greensboro,49984,Alexandra Yundt
2016-01-04,18:30:00,bevy Arena,"3383 Junctionsfurt, Washington, Maryland 88790",Reno,86041,Freeda Corkery
2017-03-11,19:00:00,theirs Arena,"1217 East Millston, Detroit, Indiana 28414",Louisville/Jefferson,67793,Neoma Gusikowski
2020-12-05,19:00:00,theirs Arena,"1217 East Millston, Detroit, Indiana 28414",Louisville/Jefferson,67793,Forest Bins
2019-04-05,22:30:00,brilliance Arena,"875 East Circleschester, Phoenix, Georgia 38278",Raleigh,60698,Turner Lebsack
2021-06-20,19:00:00,tweak Arena,"2815 Circleport, Baltimore, Maine 41807",Louisville/Jefferson,67793,Neoma Gusikowski
2020-10-05,20:00:00,case Arena,"12125 Rapidburgh, Louisville/Jefferson, West Virginia 84571",Raleigh,60698,Amelia Cruickshank
2021-07-03,23:30:00,instance Arena,"32676 Lake Havenmouth, Atlanta, South Carolina 77075",Fresno,82763,Francesco Macejkovic
2020-08-21,23:00:00,both Arena,"454 Lake Loopville, Cleveland, Massachusetts 22956",Fresno,82763,Lilyan Bins
2019-12-24,18:00:00,host Arena,"8740 East Parkwaystown, St. Paul, Wisconsin 96969",Tampa,21758,Amelia Cruickshank
2023-10-26,21:00:00,caused Arena,"3182 Radialburgh, Baton Rouge, Oregon 10731",Bakersfield,39007,Torrance Baumbach
2024-04-22,23:30:00,cooperative Arena,"4403 Port Lightsborough, Stockton, Washington 15875",Bakersfield,83065,Lilyan Bins
2023-12-12,18:30:00,when Arena,"7188 Turnpikemouth, Madison, Montana 18731",Reno,86041,Braeden Mayert
2018-08-10,23:30:00,above Arena,"201 North Fordburgh, Miami, Pennsylvania 43196",Washington,11734,Forest Bins
2016-10-19,22:30:00,peep Arena,"490 West Wayshaven, Louisville/Jefferson, Missouri 86731",Cleveland,30344,Maximilian Rice
2024-07-17,23:00:00,above Arena,"201 North Fordburgh, Miami, Pennsylvania 43196",Washington,11734,Olga Goldner
2018-10-03,19:00:00,host Arena,"8740 East Parkwaystown, St. Paul, Wisconsin 96969",Tampa,21758,Omer Berge
2024-12-22,18:00:00,tweak Arena,"2815 Circleport, Baltimore, Maine 41807",Louisville/Jefferson,67793,Braeden Mayert
2022-03-12,23:30:00,tweak Arena,"2815 Circleport, Baltimore, Maine 41807",Louisville/Jefferson,67793,Bernadette Stark
2024-08-14,18:30:00,dynasty Arena,"8493 South Wellshire, Chesapeake, Rhode Island 24755",Bakersfield,83065,Olga Goldner
2016-02-13,19:00:00,room Arena,"529 South Roadsborough, Chesapeake, Illinois 26353",Baton Rouge,99153,Kurt Harvey
2018-01-17,19:00:00,brilliance Arena,"875 East Circleschester, Phoenix, Georgia 38278",Raleigh,60698,Maximilian Rice
2022-02-17,21:30:00,peep Arena,"490 West Wayshaven, Louisville/Jefferson, Missouri 86731",Cleveland,30344,Francesco Macejkovic
2017-07-22,20:00:00,listen Arena,"67910 Lake Neckfort, Oklahoma, New York 26328",Riverside,25423,Hipolito Littel
2021-01-22,21:30:00,instance Arena,"32676 Lake Havenmouth, Atlanta, South Carolina 77075",Fresno,82763,Keira Wisozk
2023-12-25,21:00:00,brilliance Arena,"875 East Circleschester, Phoenix, Georgia 38278",Raleigh,60698,Francesco Macejkovic
2020-01-19,23:00:00,bevy Arena,"3383 Junctionsfurt, Washington, Maryland 88790",Reno,86041,Vallie Hayes
2024-12-04,18:00:00,then Arena,"364 South Gatewayburgh, Greensboro, Indiana 87159",Greensboro,49984,Braeden Mayert
2016-03-09,20:30:00,then Arena,"364 South Gatewayburgh, Greensboro, Indiana 87159",Greensboro,49984,Okey Dietrich
2018-01-08,23:00:00,caused Arena,"3182 Radialburgh, Baton Rouge, Oregon 10731",Bakersfield,39007,Patrick Rutherford
2024-12-26,19:30:00,tablet Arena,"10564 Ferrystad, Corpus Christi, Pennsylvania 63017",Bakersfield,39007,Rose Herzog
2024-08-07,19:30:00,that Arena,"434 Hillsville, Garland, Florida 97471",Tampa,21758,Isabella Towne
2025-07-31,22:00:00,case Arena,"12125 Rapidburgh, Louisville/Jefferson, West Virginia 84571",Raleigh,60698,Micaela Stark
2018-03-28,22:30:00,when Arena,"7188 Turnpikemouth, Madison, Montana 18731",Reno,86041,Braeden Mayert
2017-06-06,19:00:00,however Arena,"515 Havenfurt, Lubbock, California 15540",Tampa,21758,Elliot Mertz
2017-02-17,18:30:00,several Arena,"59167 Drivefurt, Aurora, New Mexico 37894",Greensboro,56812,Alda Boehm
2020-02-09,21:00:00,both Arena,"454 Lake Loopville, Cleveland, Massachusetts 22956",Fresno,82763,Vincenza Quigley
2016-11-16,18:00:00,room Arena,"529 South Roadsborough, Chesapeake, Illinois 26353",Baton Rouge,99153,Forest Bins
2020-01-09,19:00:00,both Arena,"454 Lake Loopville, Cleveland, Massachusetts 22956",Fresno,82763,Braeden Mayert
2024-09-08,18:00:00,host Arena,"8740 East Parkwaystown, St. Paul, Wisconsin 96969",Tampa,21758,Emelia Friesen
2021-12-30,19:30:00,dynasty Arena,"8493 South Wellshire, Chesapeake, Rhode Island 24755",Bakersfield,83065,Camden Schiller
2023-06-19,21:30:00,host Arena,"8740 East Parkwaystown, St. Paul, Wisconsin 96969",Tampa,21758,Antone Ortiz
2018-09-03,22:00:00,room Arena,"529 South Roadsborough, Chesapeake, Illinois 26353",Baton Rouge,99153,Camden Schiller
2022-08-29,22:30:00,several Arena,"59167 Drivefurt, Aurora, New Mexico 37894",Greensboro,56812,Lance Marquardt
2023-07-22,19:00:00,brilliance Arena,"875 East Circleschester, Phoenix, Georgia 38278",Raleigh,60698,Forest Bins
2019-11-28,19:30:00,host Arena,"8740 East Parkwaystown, St. Paul, Wisconsin 96969",Tampa,21758,Kurt Harvey
2017-03-20,18:30:00,several Arena,"59167 Drivefurt, Aurora, New Mexico 37894",Greensboro,56812,Hipolito Littel
2024-09-01,19:00:00,several Arena,"59167 Drivefurt, Aurora, New Mexico 37894",Greensboro,56812,Amelia Cruickshank
2019-01-23,18:30:00,host Arena,"8740 East Parkwaystown, St. Paul, Wisconsin 96969",Tampa,21758,Micaela Stark
2021-12-16,22:00:00,however Arena,"515 Havenfurt, Lubbock, California 15540",Tampa,21758,Okey Dietrich
2017-08-17,20:30:00,Spanish Arena,"54899 Port Capeberg, Jersey, Vermont 73778",Greensboro,49984,Gwen Turcotte
2025-04-10,19:30:00,pair Arena,"512 Port Drivesview, Atlanta, Montana 46270",Greensboro,49984,Tate Denesik
2022-02-12,21:30:00,peep Arena,"490 West Wayshaven, Louisville/Jefferson, Missouri 86731",Cleveland,30344,Omer Berge
2018-05-21,18:00:00,begin Arena,"9522 Alleyton, San Antonio, Oregon 36987",Reno,86041,Maureen Macejkovic
2016-10-01,22:30:00,cooperative Arena,"4403 Port Lightsborough, Stockton, Washington 15875",Bakersfield,83065,Braeden Mayert
2018-07-19,23:00:00,room Arena,"529 South Roadsborough, Chesapeake, Illinois 26353",Baton Rouge,99153,Lilyan Bins
2021-10-02,21:00:00,instance Arena,"32676 Lake Havenmouth, Atlanta, South Carolina 77075",Fresno,82763,Tate Denesik
2018-09-20,20:30:00,case Arena,"12125 Rapidburgh, Louisville/Jefferson, West Virginia 84571",Raleigh,60698,Blaise Bradtke
2015-11-06,22:00:00,that Arena,"434 Hillsville, Garland, Florida 97471",Tampa,21758,Freeda Corkery
2021-12-10,18:30:00,then Arena,"364 South Gatewayburgh, Greensboro, Indiana 87159",Greensboro,49984,Hollie Feil
2021-02-06,18:30:00,brilliance Arena,"875 East Circleschester, Phoenix, Georgia 38278",Raleigh,60698,Torrance Baumbach
2019-11-01,23:00:00,then Arena,"364 South Gatewayburgh, Greensboro, Indiana 87159",Greensboro,49984,Braeden Mayert
2021-07-24,20:30:00,however Arena,"515 Havenfurt, Lubbock, California 15540",Tampa,21758,Olga Goldner
2022-08-20,19:30:00,caused Arena,"3182 Radialburgh, Baton Rouge, Oregon 10731",Bakersfield,39007,Vincenza Quigley
2023-12-15,21:30:00,but Arena,"38287 Greensside, Portland, Minnesota 99975",Milwaukee,21954,Sven McKenzie
2015-11-26,19:00:00,pair Arena,"512 Port Drivesview, Atlanta, Montana 46270",Greensboro,49984,Freeda Corkery
2019-10-20,22:00:00,cooperative Arena,"4403 Port Lightsborough, Stockton, Washington 15875",Bakersfield,83065,Blaise Bradtke
2019-11-06,22:30:00,instance Arena,"32676 Lake Havenmouth, Atlanta, South Carolina 77075",Fresno,82763,Antone Ortiz
2025-06-20,23:00:00,above Arena,"201 North Fordburgh, Miami, Pennsylvania 43196",Washington,11734,Tressa Johns
2019-12-28,22:00:00,however Arena,"515 Havenfurt, Lubbock, California 15540",Tampa,21758,Maureen Macejkovic
2018-06-18,19:00:00,when Arena,"7188 Turnpikemouth, Madison, Montana 18731",Reno,86041,Forest Bins
2024-10-14,19:00:00,dynasty Arena,"8493 South Wellshire, Chesapeake, Rhode Island 24755",Bakersfield,83065,Dessie Daugherty
2022-10-30,22:30:00,peep Arena,"490 West Wayshaven, Louisville/Jefferson, Missouri 86731",Cleveland,30344,Hipolito Littel
2025-02-08,23:00:00,pair Arena,"512 Port Drivesview, Atlanta, Montana 46270",Greensboro,49984,Anita Rippin
2018-08-11,20:00:00,however Arena,"515 Havenfurt, Lubbock, California 15540",Tampa,21758,Olga Goldner
2017-07-15,18:30:00,instance Arena,"32676 Lake Havenmouth, Atlanta, South Carolina 77075",Fresno,82763,Tate Denesik
2025-01-28,20:00:00,caused Arena,"3182 Radialburgh, Baton Rouge, Oregon 10731",Bakersfield,39007,Harmon Walter
2019-09-17,22:00:00,peep Arena,"490 West Wayshaven, Louisville/Jefferson, Missouri 86731",Cleveland,30344,Maximilian Rice
2020-05-11,18:00:00,dynasty Arena,"8493 South Wellshire, Chesapeake, Rhode Island 24755",Bakersfield,83065,Zane Bode
2021-05-08,19:30:00,case Arena,"12125 Rapidburgh, Louisville/Jefferson, West Virginia 84571",Raleigh,60698,Camden Schiller
2024-04-27,18:00:00,when Arena,"7188 Turnpikemouth, Madison, Montana 18731",Reno,86041,Hollie Feil
2019-06-16,22:00:00,begin Arena,"9522 Alleyton, San Antonio, Oregon 36987",Reno,86041,Torrance Baumbach
2018-03-20,20:00:00,case Arena,"12125 Rapidburgh, Louisville/Jefferson, West Virginia 84571",Raleigh,60698,Alexandra Yundt
2023-09-18,23:00:00,that Arena,"434 Hillsville, Garland, Florida 97471",Tampa,21758,Alexandra Yundt
2025-03-20,21:00:00,brilliance Arena,"875 East Circleschester, Phoenix, Georgia 38278",Raleigh,60698,Micaela Stark
2015-10-09,21:00:00,tweak Arena,"2815 Circleport, Baltimore, Maine 41807",Louisville/Jefferson,67793,Melvina Welch
2024-11-17,20:00:00,that Arena,"434 Hillsville, Garland, Florida 97471",Tampa,21758,Lexus Cole
2019-06-20,23:30:00,bevy Arena,"3383 Junctionsfurt, Washington, Maryland 88790",Reno,86041,Gwen Turcotte
2021-10-24,21:00:00,room Arena,"529 South Roadsborough, Chesapeake, Illinois 26353",Baton Rouge,99153,Vallie Hayes
2018-04-28,23:00:00,begin Arena,"9522 Alleyton, San Antonio, Oregon 36987",Reno,86041,Alda Boehm
2024-08-15,23:00:00,pair Arena,"512 Port Drivesview, Atlanta, Montana 46270",Greensboro,49984,Alda Boehm
2024-08-15,23:00:00,pair Arena,"512 Port Drivesview, Atlanta, Montana 46270",Greensboro,49984,Torrance Baumbach
2020-04-04,19:30:00,wisp Arena,"92537 Lake Millhaven, Chandler, Oklahoma 15729",Fort Worth,28990,Braeden Mayert
2017-02-03,21:30:00,listen Arena,"67910 Lake Neckfort, Oklahoma, New York 26328",Riverside,25423,Kurt Harvey
2022-01-03,19:00:00,then Arena,"364 South Gatewayburgh, Greensboro, Indiana 87159",Greensboro,49984,Braeden Mayert
2019-11-28,22:00:00,above Arena,"201 North Fordburgh, Miami, Pennsylvania 43196",Washington,11734,Tate Denesik
2024-05-12,23:30:00,sedge Arena,"7862 Landingfort, Baltimore, Alabama 18908",Raleigh,60698,Alexandra Yundt
2019-03-21,22:30:00,however Arena,"515 Havenfurt, Lubbock, California 15540",Tampa,21758,Patrick Rutherford
2022-08-20,18:30:00,today Arena,"93957 South Crescentfurt, Laredo, New York 84611",Bakersfield,83065,Amelia Cruickshank
2017-02-07,21:00:00,listen Arena,"67910 Lake Neckfort, Oklahoma, New York 26328",Riverside,25423,Blaise Bradtke
2015-09-14,19:00:00,then Arena,"364 South Gatewayburgh, Greensboro, Indiana 87159",Greensboro,49984,Okey Dietrich
2024-01-05,23:00:00,pair Arena,"512 Port Drivesview, Atlanta, Montana 46270",Greensboro,49984,Billy Anderson
2022-06-25,21:00:00,bevy Arena,"3383 Junctionsfurt, Washington, Maryland 88790",Reno,86041,Elliot Mertz
2018-12-07,19:00:00,can Arena,"693 Lake Manorhaven, Baltimore, Illinois 31057",Greensboro,49984,Hipolito Littel
2016-01-04,21:30:00,wisp Arena,"92537 Lake Millhaven, Chandler, Oklahoma 15729",Fort Worth,28990,Veronica Miller
2023-03-22,19:30:00,however Arena,"515 Havenfurt, Lubbock, California 15540",Tampa,21758,Hipolito Littel
2023-07-22,20:00:00,listen Arena,"67910 Lake Neckfort, Oklahoma, New York 26328",Riverside,25423,Blaise Bradtke
2019-06-11,23:00:00,pair Arena,"512 Port Drivesview, Atlanta, Montana 46270",Greensboro,49984,Hipolito Littel
2025-07-11,22:30:00,brilliance Arena,"875 East Circleschester, Phoenix, Georgia 38278",Raleigh,60698,Hipolito Littel
2018-02-10,21:30:00,pair Arena,"512 Port Drivesview, Atlanta, Montana 46270",Greensboro,49984,Beau Gibson
2020-10-18,22:00:00,instance Arena,"32676 Lake Havenmouth, Atlanta, South Carolina 77075",Fresno,82763,Forest Bins
2023-01-15,19:00:00,can Arena,"693 Lake Manorhaven, Baltimore, Illinois 31057",Greensboro,49984,Emelia Friesen
2016-12-30,23:00:00,case Arena,"12125 Rapidburgh, Louisville/Jefferson, West Virginia 84571",Raleigh,60698,Maximilian Rice
2023-05-21,21:00:00,dynasty Arena,"8493 South Wellshire, Chesapeake, Rhode Island 24755",Bakersfield,83065,Elliot Mertz
2018-04-08,18:30:00,room Arena,"529 South Roadsborough, Chesapeake, Illinois 26353",Baton Rouge,99153,Torrance Baumbach
2019-10-30,22:30:00,Spanish Arena,"54899 Port Capeberg, Jersey, Vermont 73778",Greensboro,49984,Billy Anderson
2022-05-19,22:30:00,can Arena,"693 Lake Manorhaven, Baltimore, Illinois 31057",Greensboro,49984,Rose Herzog
2023-02-15,21:30:00,caused Arena,"3182 Radialburgh, Baton Rouge, Oregon 10731",Bakersfield,39007,Dessie Daugherty
2024-01-25,21:00:00,caused Arena,"3182 Radialburgh, Baton Rouge, Oregon 10731",Bakersfield,39007,Anita Rippin
2019-05-12,18:30:00,listen Arena,"67910 Lake Neckfort, Oklahoma, New York 26328",Riverside,25423,Maximilian Rice
2021-05-11,19:00:00,instance Arena,"32676 Lake Havenmouth, Atlanta, South Carolina 77075",Fresno,82763,Vallie Hayes
2020-08-17,18:00:00,then Arena,"364 South Gatewayburgh, Greensboro, Indiana 87159",Greensboro,49984,Francesco Macejkovic
2019-03-27,22:00:00,rarely Arena,"24955 West Forgeshaven, St. Paul, Maine 88813",Bakersfield,83065,Omer Berge
2022-06-07,22:00:00,then Arena,"364 South Gatewayburgh, Greensboro, Indiana 87159",Greensboro,49984,Turner Lebsack
2021-08-12,18:30:00,today Arena,"93957 South Crescentfurt, Laredo, New York 84611",Bakersfield,83065,Antone Ortiz
2020-11-16,22:30:00,can Arena,"693 Lake Manorhaven, Baltimore, Illinois 31057",Greensboro,49984,Okey Dietrich
2016-09-22,18:30:00,then Arena,"364 South Gatewayburgh, Greensboro, Indiana 87159",Greensboro,49984,Alexandra Yundt
2021-06-20,22:00:00,bevy Arena,"3383 Junctionsfurt, Washington, Maryland 88790",Reno,86041,Harmon Walter
2025-04-02,23:00:00,room Arena,"529 South Roadsborough, Chesapeake, Illinois 26353",Baton Rouge,99153,Rose Herzog
2016-05-13,19:00:00,above Arena,"201 North Fordburgh, Miami, Pennsylvania 43196",Washington,11734,Neoma Gusikowski
2018-10-20,23:30:00,rarely Arena,"24955 West Forgeshaven, St. Paul, Maine 88813",Bakersfield,83065,Patrick Rutherford
2021-11-24,21:30:00,dynasty Arena,"8493 South Wellshire, Chesapeake, Rhode Island 24755",Bakersfield,83065,Olga Goldner
2024-02-07,18:30:00,cooperative Arena,"4403 Port Lightsborough, Stockton, Washington 15875",Bakersfield,83065,Vincenza Quigley
2021-10-07,20:00:00,but Arena,"38287 Greensside, Portland, Minnesota 99975",Milwaukee,21954,Alda Boehm
2018-08-17,19:00:00,peep Arena,"490 West Wayshaven, Louisville/Jefferson, Missouri 86731",Cleveland,30344,Alda Boehm
2024-09-03,21:00:00,above Arena,"201 North Fordburgh, Miami, Pennsylvania 43196",Washington,11734,Lilyan Bins
2024-01-21,23:00:00,sedge Arena,"7862 Landingfort, Baltimore, Alabama 18908",Raleigh,60698,Torrance Baumbach
2016-02-26,22:30:00,theirs Arena,"1217 East Millston, Detroit, Indiana 28414",Louisville/Jefferson,67793,Kurt Harvey
2017-08-28,18:30:00,tablet Arena,"10564 Ferrystad, Corpus Christi, Pennsylvania 63017",Bakersfield,39007,Melvina Welch
2024-06-02,21:30:00,that Arena,"434 Hillsville, Garland, Florida 97471",Tampa,21758,Camden Schiller
2021-01-05,20:00:00,room Arena,"529 South Roadsborough, Chesapeake, Illinois 26353",Baton Rouge,99153,Alda Boehm
2017-02-22,18:00:00,when Arena,"7188 Turnpikemouth, Madison, Montana 18731",Reno,86041,Lilyan Bins
2021-10-06,22:00:00,Spanish Arena,"54899 Port Capeberg, Jersey, Vermont 73778",Greensboro,49984,Anita Rippin
2020-11-19,20:00:00,tweak Arena,"2815 Circleport, Baltimore, Maine 41807",Louisville/Jefferson,67793,Rose Herzog
2022-02-01,21:00:00,sedge Arena,"7862 Landingfort, Baltimore, Alabama 18908",Raleigh,60698,Anita Rippin
2018-01-08,23:00:00,caused Arena,"3182 Radialburgh, Baton Rouge, Oregon 10731",Bakersfield,39007,Brittany Morissette
2024-06-27,20:30:00,above Arena,"201 North Fordburgh, Miami, Pennsylvania 43196",Washington,11734,Hipolito Littel
2016-12-26,18:00:00,bevy Arena,"3383 Junctionsfurt, Washington, Maryland 88790",Reno,86041,Isabella Towne
2016-12-17,20:30:00,both Arena,"454 Lake Loopville, Cleveland, Massachusetts 22956",Fresno,82763,Rose Herzog
2018-07-08,21:00:00,brilliance Arena,"875 East Circleschester, Phoenix, Georgia 38278",Raleigh,60698,Harmon Walter
2016-11-30,18:30:00,brilliance Arena,"875 East Circleschester, Phoenix, Georgia 38278",Raleigh,60698,Hollie Feil
2021-04-01,23:00:00,room Arena,"529 South Roadsborough, Chesapeake, Illinois 26353",Baton Rouge,99153,Neoma Gusikowski
2018-05-03,19:30:00,several Arena,"59167 Drivefurt, Aurora, New Mexico 37894",Greensboro,56812,Emelia Friesen
2021-02-11,23:00:00,host Arena,"8740 East Parkwaystown, St. Paul, Wisconsin 96969",Tampa,21758,Rose Herzog
2017-04-02,20:30:00,wisp Arena,"92537 Lake Millhaven, Chandler, Oklahoma 15729",Fort Worth,28990,Shanelle Beier
2025-04-19,23:30:00,when Arena,"7188 Turnpikemouth, Madison, Montana 18731",Reno,86041,Torrance Baumbach
2016-09-22,18:30:00,case Arena,"12125 Rapidburgh, Louisville/Jefferson, West Virginia 84571",Raleigh,60698,Beau Gibson
2023-10-12,19:30:00,that Arena,"434 Hillsville, Garland, Florida 97471",Tampa,21758,Dessie Daugherty
2023-09-08,18:30:00,room Arena,"529 South Roadsborough, Chesapeake, Illinois 26353",Baton Rouge,99153,Hipolito Littel
2022-06-28,19:00:00,wisp Arena,"92537 Lake Millhaven, Chandler, Oklahoma 15729",Fort Worth,28990,Sven McKenzie
2017-12-19,21:30:00,when Arena,"7188 Turnpikemouth, Madison, Montana 18731",Reno,86041,Olga Goldner
2015-11-21,22:30:00,Spanish Arena,"54899 Port Capeberg, Jersey, Vermont 73778",Greensboro,49984,Virginia Sauer
2016-11-30,18:30:00,brilliance Arena,"875 East Circleschester, Phoenix, Georgia 38278",Raleigh,60698,Isabella Towne
2019-09-21,23:00:00,dynasty Arena,"8493 South Wellshire, Chesapeake, Rhode Island 24755",Bakersfield,83065,Virginia Sauer
2019-07-21,18:30:00,above Arena,"201 North Fordburgh, Miami, Pennsylvania 43196",Washington,11734,Bernadette Stark
2017-11-25,23:30:00,rarely Arena,"24955 West Forgeshaven, St. Paul, Maine 88813",Bakersfield,83065,Dessie Daugherty
2022-02-08,18:30:00,several Arena,"59167 Drivefurt, Aurora, New Mexico 37894",Greensboro,56812,Virginia Sauer
2016-01-10,23:30:00,however Arena,"515 Havenfurt, Lubbock, California 15540",Tampa,21758,Lance Marquardt
2017-08-08,22:30:00,Spanish Arena,"54899 Port Capeberg, Jersey, Vermont 73778",Greensboro,49984,Brittany Morissette
2015-11-26,19:00:00,pair Arena,"512 Port Drivesview, Atlanta, Montana 46270",Greensboro,49984,Vallie Hayes
2021-10-22,20:00:00,both Arena,"454 Lake Loopville, Cleveland, Massachusetts 22956",Fresno,82763,Forest Bins
2018-12-29,19:30:00,above Arena,"201 North Fordburgh, Miami, Pennsylvania 43196",Washington,11734,Lexus Cole
2017-03-27,20:00:00,today Arena,"93957 South Crescentfurt, Laredo, New York 84611",Bakersfield,83065,Neoma Gusikowski
2018-04-13,22:00:00,tablet Arena,"10564 Ferrystad, Corpus Christi, Pennsylvania 63017",Bakersfield,39007,Braeden Mayert
2019-09-17,18:00:00,brilliance Arena,"875 East Circleschester, Phoenix, Georgia 38278",Raleigh,60698,Micaela Stark
2019-03-22,23:00:00,tweak Arena,"2815 Circleport, Baltimore, Maine 41807",Louisville/Jefferson,67793,Kurt Harvey
2025-01-21,21:00:00,cooperative Arena,"4403 Port Lightsborough, Stockton, Washington 15875",Bakersfield,83065,Shanelle Beier
2019-12-22,23:00:00,several Arena,"59167 Drivefurt, Aurora, New Mexico 37894",Greensboro,56812,Sabryna Abbott
2017-02-16,21:00:00,host Arena,"8740 East Parkwaystown, St. Paul, Wisconsin 96969",Tampa,21758,Antone Ortiz
2023-04-13,19:00:00,but Arena,"38287 Greensside, Portland, Minnesota 99975",Milwaukee,21954,Sabryna Abbott
2022-08-03,21:30:00,brilliance Arena,"875 East Circleschester, Phoenix, Georgia 38278",Raleigh,60698,Isabella Towne
2016-12-09,20:00:00,cooperative Arena,"4403 Port Lightsborough, Stockton, Washington 15875",Bakersfield,83065,Alda Boehm
2019-12-03,19:30:00,theirs Arena,"1217 East Millston, Detroit, Indiana 28414",Louisville/Jefferson,67793,Blaise Bradtke
2024-05-09,19:00:00,instance Arena,"32676 Lake Havenmouth, Atlanta, South Carolina 77075",Fresno,82763,Okey Dietrich
2019-11-12,18:00:00,dynasty Arena,"8493 South Wellshire, Chesapeake, Rhode Island 24755",Bakersfield,83065,Dessie Daugherty
2023-04-13,23:00:00,sedge Arena,"7862 Landingfort, Baltimore, Alabama 18908",Raleigh,60698,Dessie Daugherty
2021-03-18,20:00:00,theirs Arena,"1217 East Millston, Detroit, Indiana 28414",Louisville/Jefferson,67793,Torrance Baumbach
2021-12-01,21:30:00,sedge Arena,"7862 Landingfort, Baltimore, Alabama 18908",Raleigh,60698,Lance Marquardt
2022-12-13,23:30:00,wisp Arena,"92537 Lake Millhaven, Chandler, Oklahoma 15729",Fort Worth,28990,Maximilian Rice
2022-09-24,22:00:00,when Arena,"7188 Turnpikemouth, Madison, Montana 18731",Reno,86041,Turner Lebsack
2020-12-14,20:00:00,can Arena,"693 Lake Manorhaven, Baltimore, Illinois 31057",Greensboro,49984,Tressa Johns
2015-12-14,19:00:00,room Arena,"529 South Roadsborough, Chesapeake, Illinois 26353",Baton Rouge,99153,Elliot Mertz
2019-10-31,20:30:00,tablet Arena,"10564 Ferrystad, Corpus Christi, Pennsylvania 63017",Bakersfield,39007,Blaise Bradtke
2019-06-10,19:00:00,peep Arena,"490 West Wayshaven, Louisville/Jefferson, Missouri 86731",Cleveland,30344,Alda Boehm
