data_concerto,ora_concerto,nome_ambiente,indirizzo_ambiente,nome_citta,cap_citta,artista
2020-09-29,20:00:00,sedge Arena,"7862 Landingfort, Baltimore, Alabama 18908",Raleigh,60698,Leif Huel
2022-03-10,21:30:00,rarely Arena,"24955 West Forgeshaven, St. Paul, Maine 88813",Bakersfield,83065,Taya Dicki
2016-09-05,22:00:00,when Arena,"7188 Turnpikemouth, Madison, Montana 18731",Reno,86041,Ernesto Zboncak
2024-01-27,23:00:00,host Arena,"8740 East Parkwaystown, St. Paul, Wisconsin 96969",Tampa,21758,Candace Pouros
2023-01-15,20:30:00,peep Arena,"490 West Wayshaven, Louisville/Jefferson, Missouri 86731",Cleveland,30344,Akeem Blanda
2020-07-20,23:30:00,but Arena,"38287 Greensside, Portland, Minnesota 99975",Milwaukee,21954,Torrance Howell
2016-05-31,20:00:00,that Arena,"434 Hillsville, Garland, Florida 97471",Tampa,21758,Deven Ferry
2018-01-13,22:00:00,peep Arena,"490 West Wayshaven, Louisville/Jefferson, Missouri 86731",Cleveland,30344,Casimer Morar
2016-08-10,22:00:00,several Arena,"59167 Drivefurt, Aurora, New Mexico 37894",Greensboro,56812,Louvenia Beer
2018-04-19,23:00:00,bevy Arena,"3383 Junctionsfurt, Washington, Maryland 88790",Reno,86041,Narciso Stiedemann
2016-10-11,22:00:00,tweak Arena,"2815 Circleport, Baltimore, Maine 41807",Louisville/Jefferson,67793,Edmond Bosco
2015-09-18,22:00:00,peep Arena,"490 West Wayshaven, Louisville/Jefferson, Missouri 86731",Cleveland,30344,Edmond Bosco
2019-12-25,19:00:00,brilliance Arena,"875 East Circleschester, Phoenix, Georgia 38278",Raleigh,60698,Nellie Schowalter
2021-07-21,22:00:00,tablet Arena,"10564 Ferrystad, Corpus Christi, Pennsylvania 63017",Bakersfield,39007,Mike Herman
2022-11-01,18:00:00,listen Arena,"67910 Lake Neckfort, Oklahoma, New York 26328",Riverside,25423,Macie Klocko
2017-05-06,21:30:00,case Arena,"12125 Rapidburgh, Louisville/Jefferson, West Virginia 84571",Raleigh,60698,Shania Greenholt
2022-03-02,19:00:00,caused Arena,"3182 Radialburgh, Baton Rouge, Oregon 10731",Bakersfield,39007,Willow Kling
2022-09-28,18:00:00,sedge Arena,"7862 Landingfort, Baltimore, Alabama 18908",Raleigh,60698,Keagan Mann
2024-09-03,21:30:00,Spanish Arena,"54899 Port Capeberg, Jersey, Vermont 73778",Greensboro,49984,Torrance Howell
2024-01-06,23:30:00,room Arena,"529 South Roadsborough, Chesapeake, Illinois 26353",Baton Rouge,99153,Elenora Steuber
2021-08-02,23:00:00,cooperative Arena,"4403 Port Lightsborough, Stockton, Washington 15875",Bakersfield,83065,Christelle Bogan
2016-07-31,23:30:00,but Arena,"38287 Greensside, Portland, Minnesota 99975",Milwaukee,21954,Ludwig Cummings
2018-04-29,23:00:00,theirs Arena,"1217 East Millston, Detroit, Indiana 28414",Louisville/Jefferson,67793,Vicenta Nitzsche
2019-05-11,23:00:00,instance Arena,"32676 Lake Havenmouth, Atlanta, South Carolina 77075",Fresno,82763,Madge Kuphal
2022-04-14,22:00:00,cooperative Arena,"4403 Port Lightsborough, Stockton, Washington 15875",Bakersfield,83065,Albertha Harris
2021-08-27,21:00:00,cooperative Arena,"4403 Port Lightsborough, Stockton, Washington 15875",Bakersfield,83065,Bridgette Breitenberg
2024-04-17,22:00:00,tweak Arena,"2815 Circleport, Baltimore, Maine 41807",Louisville/Jefferson,67793,Nelda Hermann
2020-12-25,18:00:00,case Arena,"12125 Rapidburgh, Louisville/Jefferson, West Virginia 84571",Raleigh,60698,Charity Hills
2017-09-24,20:00:00,Spanish Arena,"54899 Port Capeberg, Jersey, Vermont 73778",Greensboro,49984,Gage Fisher
2020-12-05,22:30:00,host Arena,"8740 East Parkwaystown, St. Paul, Wisconsin 96969",Tampa,21758,Ariel Tillman
2023-12-04,23:30:00,cooperative Arena,"4403 Port Lightsborough, Stockton, Washington 15875",Bakersfield,83065,Ova Collins
2024-09-04,20:00:00,then Arena,"364 South Gatewayburgh, Greensboro, Indiana 87159",Greensboro,49984,Clint Brakus
2020-08-17,23:30:00,theirs Arena,"1217 East Millston, Detroit, Indiana 28414",Louisville/Jefferson,67793,Brannon Upton
2024-05-24,22:30:00,listen Arena,"67910 Lake Neckfort, Oklahoma, New York 26328",Riverside,25423,Narciso Stiedemann
2022-08-03,19:00:00,bevy Arena,"3383 Junctionsfurt, Washington, Maryland 88790",Reno,86041,Torrance Howell
2025-01-19,22:30:00,today Arena,"93957 South Crescentfurt, Laredo, New York 84611",Bakersfield,83065,Vicenta Nitzsche
2022-05-11,23:00:00,then Arena,"364 South Gatewayburgh, Greensboro, Indiana 87159",Greensboro,49984,Webster Schroeder
2021-07-24,18:30:00,dynasty Arena,"8493 South Wellshire, Chesapeake, Rhode Island 24755",Bakersfield,83065,Albertha Harris
2016-05-20,20:30:00,several Arena,"59167 Drivefurt, Aurora, New Mexico 37894",Greensboro,56812,Bonita Larson
2021-12-30,19:00:00,that Arena,"434 Hillsville, Garland, Florida 97471",Tampa,21758,Stefan Welch
2020-04-26,19:00:00,however Arena,"515 Havenfurt, Lubbock, California 15540",Tampa,21758,Eva Stehr
2021-06-14,21:30:00,rarely Arena,"24955 West Forgeshaven, St. Paul, Maine 88813",Bakersfield,83065,Kirsten Weissnat
2020-02-21,18:00:00,rarely Arena,"24955 West Forgeshaven, St. Paul, Maine 88813",Bakersfield,83065,Fatima Murazik
2018-02-10,21:30:00,pair Arena,"512 Port Drivesview, Atlanta, Montana 46270",Greensboro,49984,Ova Collins
2021-03-09,22:00:00,that Arena,"434 Hillsville, Garland, Florida 97471",Tampa,21758,Golda Donnelly
2021-10-24,21:00:00,room Arena,"529 South Roadsborough, Chesapeake, Illinois 26353",Baton Rouge,99153,Ludwig Cummings
2020-02-01,21:00:00,both Arena,"454 Lake Loopville, Cleveland, Massachusetts 22956",Fresno,82763,Gage Fisher
2024-05-12,23:00:00,wisp Arena,"92537 Lake Millhaven, Chandler, Oklahoma 15729",Fort Worth,28990,Jayda Beier
2020-06-21,20:30:00,pair Arena,"512 Port Drivesview, Atlanta, Montana 46270",Greensboro,49984,Albertha Harris
2016-01-04,21:30:00,wisp Arena,"92537 Lake Millhaven, Chandler, Oklahoma 15729",Fort Worth,28990,Tommie Reynolds
2022-08-02,22:30:00,however Arena,"515 Havenfurt, Lubbock, California 15540",Tampa,21758,Mike Herman
2016-06-22,22:30:00,pair Arena,"512 Port Drivesview, Atlanta, Montana 46270",Greensboro,49984,Karina Muller
2024-08-04,23:30:00,case Arena,"12125 Rapidburgh, Louisville/Jefferson, West Virginia 84571",Raleigh,60698,Tommie Reynolds
2023-11-21,20:30:00,today Arena,"93957 South Crescentfurt, Laredo, New York 84611",Bakersfield,83065,Graciela Kuvalis
2016-07-21,19:00:00,tablet Arena,"10564 Ferrystad, Corpus Christi, Pennsylvania 63017",Bakersfield,39007,Christelle Bogan
2020-01-16,19:30:00,room Arena,"529 South Roadsborough, Chesapeake, Illinois 26353",Baton Rouge,99153,Gage Fisher
2020-12-02,21:00:00,host Arena,"8740 East Parkwaystown, St. Paul, Wisconsin 96969",Tampa,21758,Kasey Weissnat
2024-06-12,21:30:00,room Arena,"529 South Roadsborough, Chesapeake, Illinois 26353",Baton Rouge,99153,Annie Lesch
2017-06-10,19:30:00,but Arena,"38287 Greensside, Portland, Minnesota 99975",Milwaukee,21954,Torrance Howell
2020-08-08,19:30:00,can Arena,"693 Lake Manorhaven, Baltimore, Illinois 31057",Greensboro,49984,Raegan Purdy
2015-09-29,23:30:00,tweak Arena,"2815 Circleport, Baltimore, Maine 41807",Louisville/Jefferson,67793,Victoria Hodkiewicz
2017-03-14,18:30:00,listen Arena,"67910 Lake Neckfort, Oklahoma, New York 26328",Riverside,25423,Dahlia Maggio
2024-12-18,19:00:00,but Arena,"38287 Greensside, Portland, Minnesota 99975",Milwaukee,21954,Shanny Konopelski
2023-11-01,20:30:00,host Arena,"8740 East Parkwaystown, St. Paul, Wisconsin 96969",Tampa,21758,Deven Ferry
2021-08-12,18:30:00,today Arena,"93957 South Crescentfurt, Laredo, New York 84611",Bakersfield,83065,Yasmine Treutel
2016-01-04,21:30:00,wisp Arena,"92537 Lake Millhaven, Chandler, Oklahoma 15729",Fort Worth,28990,Hailey Schroeder
2020-02-04,20:30:00,above Arena,"201 North Fordburgh, Miami, Pennsylvania 43196",Washington,11734,Vivien Thiel
2021-07-13,21:00:00,wisp Arena,"92537 Lake Millhaven, Chandler, Oklahoma 15729",Fort Worth,28990,Ben Abbott
2016-01-04,21:30:00,wisp Arena,"92537 Lake Millhaven, Chandler, Oklahoma 15729",Fort Worth,28990,Gustave Mante
2016-04-10,19:30:00,host Arena,"8740 East Parkwaystown, St. Paul, Wisconsin 96969",Tampa,21758,Beau Vandervort
2019-07-21,18:30:00,above Arena,"201 North Fordburgh, Miami, Pennsylvania 43196",Washington,11734,Lia Christiansen
2020-07-22,18:30:00,caused Arena,"3182 Radialburgh, Baton Rouge, Oregon 10731",Bakersfield,39007,Karina Muller
2016-08-24,21:30:00,listen Arena,"67910 Lake Neckfort, Oklahoma, New York 26328",Riverside,25423,Candace Pouros
2020-11-08,21:00:00,today Arena,"93957 South Crescentfurt, Laredo, New York 84611",Bakersfield,83065,Blanca Langosh
2022-05-22,19:30:00,however Arena,"515 Havenfurt, Lubbock, California 15540",Tampa,21758,Beau Vandervort
2019-09-20,19:00:00,pair Arena,"512 Port Drivesview, Atlanta, Montana 46270",Greensboro,49984,Vicenta Nitzsche
2018-12-06,23:00:00,peep Arena,"490 West Wayshaven, Louisville/Jefferson, Missouri 86731",Cleveland,30344,Gideon Pacocha
2020-02-27,19:30:00,peep Arena,"490 West Wayshaven, Louisville/Jefferson, Missouri 86731",Cleveland,30344,Dedrick Schiller
2017-03-24,20:30:00,tablet Arena,"10564 Ferrystad, Corpus Christi, Pennsylvania 63017",Bakersfield,39007,Vicenta Nitzsche
2019-05-12,22:30:00,Spanish Arena,"54899 Port Capeberg, Jersey, Vermont 73778",Greensboro,49984,Kasey Weissnat
2018-03-24,21:30:00,brilliance Arena,"875 East Circleschester, Phoenix, Georgia 38278",Raleigh,60698,Jazlyn Little
2019-05-12,18:30:00,listen Arena,"67910 Lake Neckfort, Oklahoma, New York 26328",Riverside,25423,Casimer Morar
2019-04-05,23:30:00,that Arena,"434 Hillsville, Garland, Florida 97471",Tampa,21758,Albertha Harris
2018-04-08,18:30:00,room Arena,"529 South Roadsborough, Chesapeake, Illinois 26353",Baton Rouge,99153,Madge Kuphal
2016-01-05,21:00:00,tablet Arena,"10564 Ferrystad, Corpus Christi, Pennsylvania 63017",Bakersfield,39007,Gustave Mante
2023-12-01,18:00:00,bevy Arena,"3383 Junctionsfurt, Washington, Maryland 88790",Reno,86041,Gideon Pacocha
2020-02-15,19:30:00,host Arena,"8740 East Parkwaystown, St. Paul, Wisconsin 96969",Tampa,21758,Tommie Reynolds
2024-02-08,21:00:00,caused Arena,"3182 Radialburgh, Baton Rouge, Oregon 10731",Bakersfield,39007,Torrance Howell
2024-11-05,19:00:00,today Arena,"93957 South Crescentfurt, Laredo, New York 84611",Bakersfield,83065,Burdette Ankunding
2025-07-06,21:30:00,host Arena,"8740 East Parkwaystown, St. Paul, Wisconsin 96969",Tampa,21758,Jaden Gutmann
2024-07-19,20:30:00,but Arena,"38287 Greensside, Portland, Minnesota 99975",Milwaukee,21954,Elisa Wehner
2019-03-12,21:00:00,tablet Arena,"10564 Ferrystad, Corpus Christi, Pennsylvania 63017",Bakersfield,39007,Shanny Konopelski
2016-04-10,19:00:00,when Arena,"7188 Turnpikemouth, Madison, Montana 18731",Reno,86041,Ludwig Cummings
2020-07-30,20:00:00,room Arena,"529 South Roadsborough, Chesapeake, Illinois 26353",Baton Rouge,99153,Francisca Monahan
2024-03-23,20:00:00,tablet Arena,"10564 Ferrystad, Corpus Christi, Pennsylvania 63017",Bakersfield,39007,Vince Kozey
2025-05-23,23:00:00,when Arena,"7188 Turnpikemouth, Madison, Montana 18731",Reno,86041,Evert Schneider
2016-09-09,23:30:00,above Arena,"201 North Fordburgh, Miami, Pennsylvania 43196",Washington,11734,Kian Cremin
2023-03-10,19:00:00,bevy Arena,"3383 Junctionsfurt, Washington, Maryland 88790",Reno,86041,Nelda Hermann
2019-12-07,21:00:00,host Arena,"8740 East Parkwaystown, St. Paul, Wisconsin 96969",Tampa,21758,Tommie Reynolds
2024-07-24,21:00:00,bevy Arena,"3383 Junctionsfurt, Washington, Maryland 88790",Reno,86041,Gustave Mante
2017-10-05,20:30:00,peep Arena,"490 West Wayshaven, Louisville/Jefferson, Missouri 86731",Cleveland,30344,Gideon Pacocha
2021-07-12,21:30:00,then Arena,"364 South Gatewayburgh, Greensboro, Indiana 87159",Greensboro,49984,Lionel Pfannerstill
2022-02-12,21:30:00,peep Arena,"490 West Wayshaven, Louisville/Jefferson, Missouri 86731",Cleveland,30344,Dedrick Schiller
2025-03-20,21:00:00,brilliance Arena,"875 East Circleschester, Phoenix, Georgia 38278",Raleigh,60698,Kasey Weissnat
2017-05-29,21:30:00,brilliance Arena,"875 East Circleschester, Phoenix, Georgia 38278",Raleigh,60698,Lionel Pfannerstill
2024-03-15,20:30:00,case Arena,"12125 Rapidburgh, Louisville/Jefferson, West Virginia 84571",Raleigh,60698,Ima Hilpert
2018-06-21,20:30:00,dynasty Arena,"8493 South Wellshire, Chesapeake, Rhode Island 24755",Bakersfield,83065,Charity Hills
2016-12-10,18:00:00,begin Arena,"9522 Alleyton, San Antonio, Oregon 36987",Reno,86041,Francisca Monahan
2018-06-21,20:30:00,dynasty Arena,"8493 South Wellshire, Chesapeake, Rhode Island 24755",Bakersfield,83065,Vince Kozey
2022-03-20,21:00:00,tweak Arena,"2815 Circleport, Baltimore, Maine 41807",Louisville/Jefferson,67793,Ludwig Cummings
2018-03-28,22:30:00,when Arena,"7188 Turnpikemouth, Madison, Montana 18731",Reno,86041,Aron Dietrich
2024-03-10,19:00:00,host Arena,"8740 East Parkwaystown, St. Paul, Wisconsin 96969",Tampa,21758,Shanny Konopelski
2025-05-01,23:00:00,tweak Arena,"2815 Circleport, Baltimore, Maine 41807",Louisville/Jefferson,67793,Annie Lesch
2022-01-30,19:00:00,case Arena,"12125 Rapidburgh, Louisville/Jefferson, West Virginia 84571",Raleigh,60698,Taylor Hessel
2022-02-14,22:30:00,theirs Arena,"1217 East Millston, Detroit, Indiana 28414",Louisville/Jefferson,67793,Dedrick Schiller
2021-01-27,20:30:00,but Arena,"38287 Greensside, Portland, Minnesota 99975",Milwaukee,21954,Karina Muller
2024-03-23,20:00:00,tablet Arena,"10564 Ferrystad, Corpus Christi, Pennsylvania 63017",Bakersfield,39007,Tyreek Padberg
2022-02-04,21:00:00,peep Arena,"490 West Wayshaven, Louisville/Jefferson, Missouri 86731",Cleveland,30344,Leif Huel
2021-08-23,22:30:00,that Arena,"434 Hillsville, Garland, Florida 97471",Tampa,21758,Elenora Steuber
2015-11-03,23:30:00,sedge Arena,"7862 Landingfort, Baltimore, Alabama 18908",Raleigh,60698,Wilson Stracke
2016-01-23,18:30:00,that Arena,"434 Hillsville, Garland, Florida 97471",Tampa,21758,Nelda Hermann
2025-05-26,18:30:00,room Arena,"529 South Roadsborough, Chesapeake, Illinois 26353",Baton Rouge,99153,Eva Stehr
2021-01-07,22:30:00,pair Arena,"512 Port Drivesview, Atlanta, Montana 46270",Greensboro,49984,Raegan Purdy
2024-05-23,23:30:00,case Arena,"12125 Rapidburgh, Louisville/Jefferson, West Virginia 84571",Raleigh,60698,Christelle Bogan
2017-05-30,19:30:00,instance Arena,"32676 Lake Havenmouth, Atlanta, South Carolina 77075",Fresno,82763,Morris Hermann
2018-04-24,21:00:00,above Arena,"201 North Fordburgh, Miami, Pennsylvania 43196",Washington,11734,Vivien Thiel
2024-05-22,21:00:00,instance Arena,"32676 Lake Havenmouth, Atlanta, South Carolina 77075",Fresno,82763,Blanca Langosh
2022-08-22,19:00:00,that Arena,"434 Hillsville, Garland, Florida 97471",Tampa,21758,Beau Vandervort
2020-03-19,19:30:00,when Arena,"7188 Turnpikemouth, Madison, Montana 18731",Reno,86041,Narciso Stiedemann
2021-03-18,20:00:00,theirs Arena,"1217 East Millston, Detroit, Indiana 28414",Louisville/Jefferson,67793,Webster Schroeder
2025-04-05,23:30:00,bevy Arena,"3383 Junctionsfurt, Washington, Maryland 88790",Reno,86041,Burdette Ankunding
2015-09-04,20:00:00,that Arena,"434 Hillsville, Garland, Florida 97471",Tampa,21758,Annie Lesch
2021-02-19,18:00:00,when Arena,"7188 Turnpikemouth, Madison, Montana 18731",Reno,86041,Vince Kozey
2023-04-18,23:30:00,wisp Arena,"92537 Lake Millhaven, Chandler, Oklahoma 15729",Fort Worth,28990,Vivien Thiel
2016-04-05,19:30:00,today Arena,"93957 South Crescentfurt, Laredo, New York 84611",Bakersfield,83065,Eva Stehr
